X,Y,num,NAME,falla
391830.0552915332,7082703.001555024,195,CHN_CT01_V01_DJI_0385,Tipo IV - BusBar
391828.6525269396,7082686.626866404,196,CHN_CT01_V01_DJI_0387,Tipo IV - BusBar
391828.7395225905,7082686.56530223,197,CHN_CT01_V01_DJI_0389,Tipo IV - BusBar
391834.34905592026,7082662.811779627,198,CHN_CT01_V01_DJI_0393,Tipo IV - BusBar
391834.4726406565,7082662.454625227,199,CHN_CT01_V01_DJI_0395,Tipo IV - BusBar
391834.4026262064,7082662.233450114,200,CHN_CT01_V01_DJI_0397,Tipo IV - BusBar
391823.4268922383,7082625.219169145,201,CHN_CT01_V01_DJI_0405,Tipo IV - BusBar
391823.42018049647,7082625.114711131,202,CHN_CT01_V01_DJI_0407,Tipo IV - BusBar
391823.21177670604,7082624.631051176,203,CHN_CT01_V01_DJI_0409,Tipo IV - BusBar
391824.409885547,7082596.220619619,204,CHN_CT01_V01_DJI_0415,Tipo VI - CelulaCaliente
391824.39217963227,7082596.901525669,205,CHN_CT01_V01_DJI_0415,Tipo VI - CelulaCaliente
391824.4306827296,7082597.577636072,206,CHN_CT01_V01_DJI_0417,Tipo VI - CelulaCaliente
391830.09339984425,7082589.776686553,207,CHN_CT01_V01_DJI_0417,Tipo IV - BusBar
391824.35291251587,7082598.233226532,208,CHN_CT01_V01_DJI_0417,Tipo VI - CelulaCaliente
391823.7909629618,7082595.631013667,209,CHN_CT01_V01_DJI_0419,Tipo VI - CelulaCaliente
391829.5174906094,7082587.777395809,210,CHN_CT01_V01_DJI_0419,Tipo IV - BusBar
391823.7721145498,7082596.256397866,211,CHN_CT01_V01_DJI_0419,Tipo VI - CelulaCaliente
391831.93944281753,7082587.599336472,212,CHN_CT01_V01_DJI_0421,Tipo IV - BusBar
391841.210068613,7082611.633897946,213,CHN_CT01_V01_DJI_0431,Tipo IV - BusBar
391841.4126276385,7082611.68264525,214,CHN_CT01_V01_DJI_0433,Tipo IV - BusBar
391839.6083637905,7082637.187212596,215,CHN_CT01_V01_DJI_0439,Tipo VI - CelulaCaliente
391839.8304427871,7082635.93330729,216,CHN_CT01_V01_DJI_0441,Tipo VI - CelulaCaliente
391834.2859960471,7082662.675917506,217,CHN_CT01_V01_DJI_0447,Tipo IV - BusBar
391834.2118631123,7082663.077062735,218,CHN_CT01_V01_DJI_0449,Tipo IV - BusBar
391841.8926537704,7082686.869576211,219,CHN_CT01_V01_DJI_0453,Tipo IV - BusBar
391841.8890937561,7082687.995693328,220,CHN_CT01_V01_DJI_0455,Tipo IV - BusBar
391841.78345569974,7082688.147181305,221,CHN_CT01_V01_DJI_0457,Tipo IV - BusBar
391835.15709017497,7082710.537951644,222,CHN_CT01_V01_DJI_0463,Tipo VI - CelulaCaliente
391833.16500811547,7082747.547861103,223,CHN_CT01_V01_DJI_0471,Tipo VI - CelulaCaliente
391840.27782752924,7082750.370777043,224,CHN_CT01_V01_DJI_0473,Tipo IV - BusBar
391840.2740562127,7082750.919066807,225,CHN_CT01_V01_DJI_0475,Tipo IV - BusBar
391840.1648624187,7082750.6777094845,226,CHN_CT01_V01_DJI_0477,Tipo IV - BusBar
391845.3061168321,7082797.763132308,227,CHN_CT01_V01_DJI_0487,Tipo IV - BusBar
391845.2059887034,7082798.044288951,228,CHN_CT01_V01_DJI_0489,Tipo IV - BusBar
391845.0997257027,7082798.41484627,229,CHN_CT01_V01_DJI_0491,Tipo IV - BusBar
391835.7593696035,7082830.431985581,230,CHN_CT01_V01_DJI_0497,Tipo VI - CelulaCaliente
391835.66663398343,7082834.525962908,231,CHN_CT01_V01_DJI_0499,Tipo VI - CelulaCaliente
391835.67662906274,7082830.737951929,232,CHN_CT01_V01_DJI_0499,Tipo VI - CelulaCaliente
391834.01064839715,7082837.505808262,233,CHN_CT01_V01_DJI_0499,Tipo IV - BusBar
391834.0043342301,7082837.498822166,234,CHN_CT01_V01_DJI_0501,Tipo IV - BusBar
391835.6697648446,7082834.537897456,235,CHN_CT01_V01_DJI_0501,Tipo VI - CelulaCaliente
391834.9055603176,7082845.939574323,236,CHN_CT01_V01_DJI_0501,Tipo VI - CelulaCaliente
391834.4867723955,7082843.74508163,237,CHN_CT01_V01_DJI_0501,Tipo VI - CelulaCaliente
391834.5713333201,7082844.4618775435,238,CHN_CT01_V01_DJI_0503,Tipo VI - CelulaCaliente
391834.15702363796,7082838.241937877,239,CHN_CT01_V01_DJI_0503,Tipo IV - BusBar
391835.04658062186,7082846.723371679,240,CHN_CT01_V01_DJI_0503,Tipo VI - CelulaCaliente
391835.1046936198,7082846.61656902,241,CHN_CT01_V01_DJI_0505,Tipo VI - CelulaCaliente
391834.59217528184,7082844.313495185,242,CHN_CT01_V01_DJI_0505,Tipo VI - CelulaCaliente
391857.70541626244,7082865.058308785,243,CHN_CT01_V01_DJI_0517,Tipo IV - BusBar
391857.83338039054,7082864.511607054,244,CHN_CT01_V01_DJI_0519,Tipo IV - BusBar
391857.8412920136,7082863.849367396,245,CHN_CT01_V01_DJI_0521,Tipo IV - BusBar
391857.4249461739,7082847.136615403,246,CHN_CT01_V01_DJI_0523,Tipo IV - BusBar
391852.7131550555,7082845.320865294,247,CHN_CT01_V01_DJI_0523,Tipo IV - BusBar
391857.44240831636,7082848.714792581,248,CHN_CT01_V01_DJI_0525,Tipo IV - BusBar
391852.6788492518,7082846.674896747,249,CHN_CT01_V01_DJI_0525,Tipo IV - BusBar
391844.8888803339,7082798.055137162,250,CHN_CT01_V01_DJI_0537,Tipo IV - BusBar
391847.6262545561,7082794.504273503,251,CHN_CT01_V01_DJI_0539,Tipo VI - CelulaCaliente
391845.010093046,7082798.015676411,252,CHN_CT01_V01_DJI_0539,Tipo IV - BusBar
391847.8063967929,7082794.32034451,253,CHN_CT01_V01_DJI_0541,Tipo VI - CelulaCaliente
391845.09901351715,7082798.077204996,254,CHN_CT01_V01_DJI_0541,Tipo IV - BusBar
391853.2003911998,7082742.384059077,255,CHN_CT01_V01_DJI_0555,Tipo V - ModuloCortoCircuito
391853.38059086655,7082742.17198069,256,CHN_CT01_V01_DJI_0557,Tipo V - ModuloCortoCircuito
391851.82034229825,7082724.749352403,257,CHN_CT01_V01_DJI_0559,Tipo VI - CelulaCaliente
391851.84739328123,7082723.46783523,258,CHN_CT01_V01_DJI_0561,Tipo VI - CelulaCaliente
391852.1204718129,7082722.850866741,259,CHN_CT01_V01_DJI_0563,Tipo VI - CelulaCaliente
391853.69854704605,7082704.765120789,260,CHN_CT01_V01_DJI_0567,Tipo VI - CelulaCaliente
391853.7812652027,7082704.140601266,261,CHN_CT01_V01_DJI_0569,Tipo VI - CelulaCaliente
391852.06237937044,7082683.951549782,262,CHN_CT01_V01_DJI_0573,Tipo IV - BusBar
391851.80676460743,7082683.0288919825,263,CHN_CT01_V01_DJI_0575,Tipo IV - BusBar
391851.2145942818,7082676.992388682,264,CHN_CT01_V01_DJI_0575,Tipo IV - BusBar
391851.26174863195,7082677.10315828,265,CHN_CT01_V01_DJI_0577,Tipo IV - BusBar
391848.0777973316,7082645.49580835,266,CHN_CT01_V01_DJI_0585,Tipo VI - CelulaCaliente
391847.7016381824,7082646.622709157,267,CHN_CT01_V01_DJI_0585,Tipo VI - CelulaCaliente
